Unnamed: 0	query	objs	syn
0	better reduce fever child ibuprofen aspirin	reduce fever child	reduce shrink deoxidize repress abridge boil down dilute fever child child
1	best rice cooker	rice cooker	rice Rice cooker cooker
2	buy steel ceramic knife	steel ceramic knife	steel sword knife tongue knife
3	morning afternoon sun best fruit tree	morning afternoon sun fruit tree	morning good morning dawn afternoon good afternoon sun sunlight Sunday fruit yield tree Tree corner tree
4	better back pain chiropractic therapy physical therapy	pain chiropractic therapy	pain annoyance trouble therapy therapy
5	kenya tanzania better safari	safari	campaign safari
6	master 's degree different bachelor 's degree	degree	degree academic degree degree
7	better family guy simpson	0	0.0
8	difficult ski snowboard	ski snowboard	snowboard snowboard
9	basketball better football	basketball football	basketball football football
10	stronger hulk superman	stronger	strong potent impregnable solid hard firm stronger
11	plastic pot ceramic pot better term plant health	plastic pot ceramic pot plant health	plastic credit card fictile formative pot toilet batch potentiometer plant implant establish health health
12	coldest temperature ever record earth	temperature record earth	temperature record phonograph record criminal record read commemorate Earth earth land worldly concern ground earth
13	popular beer australia	beer	beer beer
14	dog better human	dog human	dog frump cad frank pawl andiron chase homo human human
15	diet give best result lose weight	diet result weight	consequence solution result resultant role leave weight system of weights weight unit burden slant weight
16	ielts toefl	0	0.0
17	online course better physical classroom	online course classroom	course path class run naturally classroom classroom
18	better boxer muhammad joe frazier	boxer	boxer packer Boxer boxer
19	technology perform better apple 's google 's	technology perform 	technology engineering perform do perform
20	gold equal platinum	gold equal platinum	gold amber aureate platinum platinum
21	better learn foreign language kid adult	learn foreign language kid adult	learn memorize teach determine language speech lyric linguistic process terminology child kid Kyd pull the leg of adult pornographic adult
22	's difference coffee espresso cappuccino latte	coffee espresso cappuccino latte	coffee coffee bean chocolate espresso cappuccino caffe latte latte
23	city better london paris	city 	city city
24	better conditioner moisturizer	conditioner moisturizer	conditioner moisturizer
25	artificial sweetener better white sugar	artificial sweetener white sugar	sweetening bait sugar carbohydrate boodle sugar
26	healthier bake fry food	healthier bake fry food	fitter healthy goodly bake broil Fry child fry electrocute food food
27	algorithm better quicksort merge sort	algorithm	algorithm algorithm
28	interest computer science computer engineer	interest computer science engineer	interest sake pastime concern matter to computer calculator science skill engineer mastermind engineer
29	difference vegan vegetarian	vegan vegetarian	vegan vegetarian
30	unpasteurized cheese taste better pasteurize cheese	unpasteurized taste pasteurize cheese	taste preference sample smack pasteurize cheese tall mallow cheese
31	light bulb better incandescent fluorescent	light bulb incandescent fluorescent	bulb light bulb medulla oblongata incandescent fluorescent fluorescent
32	difference quantum physic quantum mechanic	0	0.0
33	better cow milk goat milk	cow milk goat	cow overawe milk Milk goat butt Capricorn goat
34	psoriasis v eczema difference	psoriasis eczema 	psoriasis eczema eczema
35	plan buy sneaker better adidas nike	sneaker	gym shoe fink sneaker
36	obamacare really better medicare	0	0.0
37	major philosophy psychology	major philosophy psychology	doctrine philosophy psychology psychology
38	difference biodegradable non-biodegradable waste	biodegradable non-biodegradable waste	waste thriftlessness barren neutralize consume pine away lay waste to godforsaken waste
39	good business book read	business book	business commercial enterprise occupation clientele book record script ledger Koran Bible reserve book
40	random forest classifier better decision tree	classifier	classifier classifier
41	pro con wood v stone mulch	wood stone mulch	wood forest Wood woodwind rock stone gem Stone pit mulch mulch
42	rain water better tap water plant	rain water better tap plant	rain water body of water water system urine pat rap water faucet tap wiretap exploit tapdance solicit plant implant establish plant
43	suitcase hard soft	suitcase hard soft	bag soft
44	environmentally friendly hybrid diesel	environmentally friendly hybrid diesel	Diesel diesel diesel
45	healthier wear boxer brief	healthier wear boxer brief	fitter healthy goodly boxer packer Boxer brief abbreviated brief
46	difference blender v food processor	blender food processor	blender food processor central processing unit processor
47	better rock rap	rap	blame rap pat knock tap rap
48	think imagination better knowledge	imagination knowledge	imagination resource cognition knowledge
49	learn python r data analysis	data analysis	data datum analysis psychoanalysis analysis
